Time,,Chem_ppm,Chem_ppm,,,,,,,,,,,,,,,
00:02:40,1,5.4,3.64,,,,,,,,,,,,,,,
00:02:41,2,5.7,3.64,,,,,,,,,,,,,,,
00:02:42,3,6.1,5.45,,,,,,,,,,,,,,,
00:02:42,4,6.4,5.23,,,,,,,,,,,,,,,
00:02:43,5,6,25.45,,,,,,,,,,,,,,,
00:02:44,6,5.8,25.45,,,,,,,,,,,,,,,
00:02:45,7,6.2,61.82,,,,,,,,,,,,,,,
00:02:46,8,6.5,81.82,,,,,,,,,,,,,,,
00:02:48,9,7,89.09,,,,,,,,,,,,,,,
00:02:49,10,7.4,98.18,,,,,,,,,,,,,,,
00:02:50,11,9.8,109.09,,,,,,,,,,,,,,,
00:02:51,12,12.5,118.18,,,,,,,,,,,,,,,
00:02:51,13,15.2,136.36,,,,,,,,,,,,,,,
00:02:52,14,18,141.23,,,,,,,,,,,,,,,
00:02:53,15,21.4,,,,,,,,,,,,,,,,
00:02:54,16,25.7,,,,,,,,,,,,,,,,
00:02:55,17,30.1,,,,,,,,,,,,,,,,
00:02:57,18,34.8,,,,,,,,,,,,,,,,
00:02:58,19,39.5,,,,,,,,,,,,,,,,
00:02:59,20,44.2,,,,,,,,,,,,,,,,
00:03:00,21,48,,,,,,,,,,,,,,,,
00:03:00,22,52.3,,,,,,,,,,,,,,,,
00:03:01,23,57.1,,,,,,,,,,,,,,,,
00:03:02,24,60.4,,,,,,,,,,,,,,,,
00:03:03,25,63.2,,,,,,,,,,,,,,,,
00:03:04,26,68.5,,,,,,,,,,,,,,,,
00:03:06,27,74.1,,,,,,,,,,,,,,,,
00:03:07,28,79.8,,,,,,,,,,,,,,,,
00:03:08,29,85.3,,,,,,,,,,,,,,,,
00:03:09,30,92,,,,,,,,,,,,,,,,
00:03:10,31,98.7,,,,,,,,,,,,,,,,
00:03:10,32,105.1,,,,,,,,,,,,,,,,
00:03:11,33,112.4,,,,,,,,,,,,,,,,
00:03:12,34,118,,,,,,,,,,,,,,,,
00:03:13,35,123.5,,,,,,,,,,,,,,,,
00:03:15,36,129.2,,,,,,,,,,,,,,,,
00:03:16,37,134.8,,,,,,,,,,,,,,,,
00:03:17,38,138.1,,,,,,,,,,,,,,,,
00:03:18,39,135.6,,,,,,,,,,,,,,,,
00:03:19,40,132.9,,,,,,,,,,,,,,,,
00:03:19,41,137.4,,,,,,,,,,,,,,,,
00:03:20,42,133.8,,,,,,,,,,,,,,,,
00:03:21,43,129.5,,,,,,,,,,,,,,,,
00:03:22,44,125.2,,,,,,,,,,,,,,,,
00:03:24,45,120.8,,,,,,,,,,,,,,,,
00:03:25,46,115.4,,,,,,,,,,,,,,,,
00:03:26,47,109.7,,,,,,,,,,,,,,,,
00:03:27,48,103.5,,,,,,,,,,,,,,,,
00:03:28,49,97.8,,,,,,,,,,,,,,,,
00:03:28,50,92.1,,,,,,,,,,,,,,,,
00:03:29,51,86.4,,,,,,,,,,,,,,,,
00:03:30,52,80.2,,,,,,,,,,,,,,,,
00:03:31,53,74.9,,,,,,,,,,,,,,,,
00:03:33,54,69.5,,,,,,,,,,,,,,,,
00:03:34,55,64.1,,,,,,,,,,,,,,,,
00:03:35,56,59.8,,,,,,,,,,,,,,,,
00:03:36,57,55.3,,,,,,,,,,,,,,,,
00:03:37,58,50.7,,,,,,,,,,,,,,,,
00:03:38,59,46.2,,,,,,,,,,,,,,,,
00:03:38,60,41.9,,,,,,,,,,,,,,,,
00:03:39,61,38.1,,,,,,,,,,,,,,,,
00:03:40,62,34.5,,,,,,,,,,,,,,,,
00:03:42,63,31,,,,,,,,,,,,,,,,
00:03:43,64,27.8,,,,,,,,,,,,,,,,
00:03:44,65,24.5,,,,,,,,,,,,,,,,
00:03:45,66,21.8,,,,,,,,,,,,,,,,
00:03:46,67,19.2,,,,,,,,,,,,,,,,
00:03:47,68,17,,,,,,,,,,,,,,,,
00:03:47,69,15.1,,,,,,,,,,,,,,,,
00:03:48,70,13.4,,,,,,,,,,,,,,,,
00:03:49,71,12,,,,,,,,,,,,,,,,
00:03:51,72,10.8,,,,,,,,,,,,,,,,
00:03:52,73,9.9,,,,,,,,,,,,,,,,
00:03:53,74,9.1,,,,,,,,,,,,,,,,
00:03:54,75,8.4,,,,,,,,,,,,,,,,
00:03:55,76,7.8,,,,,,,,,,,,,,,,
00:03:56,77,7.3,,,,,,,,,,,,,,,,
00:03:56,78,6.9,,,,,,,,,,,,,,,,
00:03:57,79,6.5,,,,,,,,,,,,,,,,
00:03:58,80,6.2,,,,,,,,,,,,,,,,
00:04:00,81,5.9,,,,,,,,,,,,,,,,
00:04:01,82,5.7,,,,,,,,,,,,,,,,
00:04:02,83,5.5,,,,,,,,,,,,,,,,
00:04:03,84,5.4,,,,,,,,,,,,,,,,
00:04:04,,,,,,,,,,,,,,,,,,
00:04:05,,,,,,,,,,,,,,,,,,
00:04:05,,,,,,,,,,,,,,,,,,
00:04:06,,,,,,,,,,,,,,,,,,
00:04:07,,,,,,,,,,,,,,,,,,
00:04:09,,,,,,,,,,,,,,,,,,
00:04:10,,,,,,,,,,,,,,,,,,
00:04:11,,,,,,,,,,,,,,,,,,
00:04:12,,,,,,,,,,,,,,,,,,
00:04:13,,,,,,,,,,,,,,,,,,
00:04:14,,,,,,,,,,,,,,,,,,
