Time,piezo_RMS,piezo_Peak,piezo_Crest,A1324
19:31:05,962.34,368,0.38,-6.35
19:31:07,971.83,376,0.39,-5.38
19:31:09,1007.32,404,0.4,-7.33
19:31:11,1318.92,749,0.57,-7.33
19:31:13,1692.56,751,0.44,-5.38
19:31:15,1537.94,751,0.49,-6.35
19:31:17,1085.93,454,0.42,-6.35
19:31:19,1030.73,405,0.39,-5.38
19:31:21,1031.21,395,0.38,-7.33
19:31:23,1041.43,396,0.38,-129.52
19:31:25,1138.35,441,0.39,-127.57
19:31:27,1182.21,448,0.38,-125.61
19:31:29,1264.91,481,0.38,-112.9
19:31:31,1070.29,426,0.4,-127.57
19:31:33,1023.48,391,0.38,-117.79
19:31:35,1095.23,436,0.4,-198.92
19:31:37,1195.39,455,0.38,-182.31
19:31:39,1199.26,460,0.38,-87.49
19:31:41,1116.24,440,0.39,-91.4
19:31:43,1011.96,393,0.39,-5.38
19:31:45,973.92,375,0.39,-4.4
19:31:47,968.05,374,0.39,-211.63
19:31:49,973.37,370,0.38,91.4
19:31:51,992.4,379,0.38,43.5
19:31:53,1038.32,396,0.38,28.84
19:31:55,1124.01,440,0.39,26.88
19:31:57,1206.08,461,0.38,-4.4
19:31:59,1082.59,423,0.39,-1.47
19:32:01,1030.37,400,0.39,4.4
19:32:03,1033.82,397,0.38,-3.42
19:32:05,1041.64,395,0.38,-6.35
19:32:07,1141.14,441,0.39,-3.42
19:32:09,1184.32,477,0.4,-5.38
19:32:11,1269.25,487,0.38,-5.38
